FIRST ORDER ACCURATE SECOND DERIVATIVE
N = 50
x,exact,numerical,error
8.64484,0.000250304,0.000249828,4.75843e-07
8.75056,0.00024744,0.000247144,2.96042e-07
8.85257,0.000240466,0.000240314,1.51796e-07
8.95078,0.000230688,0.00023065,3.80444e-08
9.04508,0.000219135,0.000219185,4.9983e-08
9.1354,0.000206601,0.000206717,1.16647e-07
9.22164,0.000193687,0.000193853,1.65834e-07
9.30371,0.000180838,0.000181039,2.00936e-07
9.38153,0.000168374,0.000168599,2.24864e-07
9.45503,0.000156517,0.000156758,2.40076e-07
9.52414,0.000145413,0.000145662,2.48617e-07
9.58877,0.000135149,0.000135401,2.52173e-07
9.64888,0.000125769,0.000126022,2.5211e-07
9.7044,0.000117289,0.000117538,2.49526e-07
9.75528,0.000109698,0.000109944,2.45293e-07
9.80147,0.000102976,0.000103216,2.40098e-07
9.84292,9.70911e-05,9.73255e-05,2.34471e-07
9.87958,9.20079e-05,9.22367e-05,2.28822e-07
9.91144,8.76903e-05,8.79137e-05,2.23461e-07
9.93844,8.41033e-05,8.43219e-05,2.1862e-07
9.96057,8.12151e-05,8.14296e-05,2.1447e-07
9.97781,7.89985e-05,7.92097e-05,2.11132e-07
9.99013,7.74314e-05,7.76401e-05,2.08694e-07
9.99753,7.64977e-05,7.76401e-05,1.14241e-06
10,7.61876e-05,7.67049e-05,5.17352e-07

SECOND ORDER ACCURATE SECOND DERIVATIVE
N = 50
x,exact,numerical,error
0,-2,-1.99996,4.00184e-05
0.00986636,-1.98027,-1.98025,1.34088e-05
0.0394265,-1.92119,-1.92116,2.76314e-05
0.0885637,-1.82332,-1.8233,1.50223e-05
0.157084,-1.68822,-1.68829,7.28274e-05
0.244717,-1.5192,-1.51948,0.000283958
0.351118,-1.32191,-1.32256,0.000646495
0.475865,-1.10463,-1.10578,0.00115341
0.618467,-0.877946,-0.879702,0.00175664
0.77836,-0.653902,-0.656275,0.0023733
0.954915,-0.444633,-0.447536,0.00290287
1.14743,-0.260835,-0.264086,0.00325093
1.35516,-0.11037,-0.113722,0.00335245
1.57726,0.00267183,-0.000515799,0.00318763
1.81288,0.0782387,0.075453,0.0027857
2.06107,0.1199,0.117684,0.00221605
2.32087,0.133868,0.132298,0.00157003
2.59123,0.127727,0.126788,0.00093947
2.8711,0.109154,0.108756,0.000398097
3.15938,0.0848909,0.0849005,9.61241e-06
3.45492,0.060104,0.0603747,0.000270657
3.75655,0.0381676,0.0385659,0.000398219
4.06309,0.020794,0.021216,0.00042203
4.37333,0.0083875,0.00876545,0.00037795
4.68605,0.000485844,0.000785338,0.000299494
5,-0.0038226,-0.00360991,0.000212692
5.31395,-0.00557153,-0.00543722,0.000134309
5.62667,-0.00570416,-0.00563157,7.25918e-05
5.93691,-0.00496694,-0.00493753,2.94039e-05
6.24345,-0.00388321,-0.00388051,2.7033e-06
6.54508,-0.00277631,-0.00278762,1.1313e-05
6.84062,-0.00181508,-0.00183178,1.67066e-05
7.1289,-0.00106325,-0.0010802,1.69558e-05
7.40877,-0.000521876,-0.00053651,1.46336e-05
7.67913,-0.000160868,-0.000172284,1.14166e-05
7.93893,6.05078e-05,5.22512e-05,8.25666e-06
8.18712,0.000181958,0.000176361,5.59666e-06
8.42274,0.000236774,0.000233209,3.56542e-06
8.64484,0.000250304,0.000248179,2.12463e-06
8.85257,0.000240466,0.0002393,1.16581e-06
9.04508,0.000219135,0.000218569,5.66269e-07
9.22164,0.000193687,0.00019347,2.16608e-07
9.38153,0.000168374,0.000168344,3.05814e-08
9.52414,0.000145413,0.000145468,5.44461e-08
9.64888,0.000125769,0.000125851,8.1178e-08
9.75528,0.000109698,0.000109776,7.71982e-08
9.84292,9.70911e-05,9.71505e-05,5.94522e-08
9.91144,8.76903e-05,8.77281e-05,3.78416e-08
9.96057,8.12151e-05,8.09119e-05,3.03251e-07
9.99013,7.74314e-05,7.72867e-05,1.44767e-07
10,7.61876e-05,7.6149e-05,3.85344e-08

SECOND ORDER ACCURATE SECOND DERIVATIVE
N = 100
x,exact,numerical,error
0,-2,-2,6.44434e-07
0.0024672,-1.99507,-1.99507,2.16827e-07
0.00986636,-1.98027,-1.98027,4.72474e-07
0.0221902,-1.95563,-1.95563,3.34565e-07
0.0394265,-1.92119,-1.92119,1.10758e-06
0.0615583,-1.87703,-1.87704,5.10929e-06
0.0885637,-1.82332,-1.82333,1.31548e-05
0.120416,-1.76026,-1.76029,2.68177e-05
0.157084,-1.68822,-1.68827,4.76069e-05
0.198532,-1.60766,-1.60773,7.681e-05
0.244717,-1.5192,-1.51931,0.000115345
0.295596,-1.42363,-1.4238,0.000163632
0.351118,-1.32191,-1.32213,0.000221498
0.411227,-1.21515,-1.21544,0.000288123
0.475865,-1.10463,-1.10499,0.000362024
0.544967,-0.991729,-0.99217,0.000441103
0.618467,-0.877946,-0.878468,0.000522731
0.69629,-0.76482,-0.765424,0.000603884
0.77836,-0.653902,-0.654583,0.000681308
0.864597,-0.5467,-0.547452,0.000751711
0.954915,-0.444633,-0.445445,0.000811969
1.04922,-0.348979,-0.349838,0.000859314
1.14743,-0.260835,-0.261727,0.000891514
1.24944,-0.181085,-0.181992,0.000907008
1.35516,-0.11037,-0.111275,0.000905006
1.46447,-0.0490748,-0.0499603,0.000885531
1.57726,0.00267183,0.00182243,0.000849405
1.69344,0.0449921,0.0441939,0.000798189
1.81288,0.0782387,0.0775046,0.000734073
1.93546,0.102967,0.102307,0.000659727
2.06107,0.1199,0.119322,0.000578136
2.18958,0.129888,0.129396,0.000492419
2.32087,0.133868,0.133463,0.000405651
2.45479,0.13282,0.132499,0.000320702
2.59123,0.127727,0.127487,0.000240106
2.73005,0.119542,0.119376,0.000165958
2.8711,0.109154,0.109054,9.9849e-05
3.01426,0.0973695,0.0973267,4.28425e-05
3.15938,0.0848909,0.0848954,4.51895e-06
3.30631,0.0723101,0.0723523,4.21727e-05
3.45492,0.060104,0.0601745,7.04735e-05
3.60504,0.048637,0.0487271,9.01142e-05
3.75655,0.0381676,0.0382697,0.000102038
3.90928,0.0288596,0.0289669,0.000107352
4.06309,0.020794,0.0209012,0.000107239
4.21783,0.0139836,0.0140865,0.00010289
4.37333,0.0083875,0.00848294,9.54372e-05
4.52946,0.00392439,0.00401031,8.59136e-05
4.68605,0.000485844,0.000561062,7.52179e-05
4.84295,-0.00205273,-0.00198863,6.40987e-05
5,-0.0038226,-0.00376945,5.31494e-05
5.15705,-0.00495422,-0.00491141,4.28129e-05
5.31395,-0.00557153,-0.00553813,3.33945e-05
5.47054,-0.00578799,-0.00576291,2.50786e-05
5.62667,-0.00570416,-0.00568621,1.79495e-05
5.78217,-0.00540645,-0.00539443,1.2012e-05
5.93691,-0.00496694,-0.00495973,7.21191e-06
6.09072,-0.00444397,-0.00444052,3.45407e-06
6.24345,-0.00388321,-0.0038826,6.18643e-07
6.39496,-0.00331908,-0.00332051,1.42599e-06
6.54508,-0.00277631,-0.00277912,2.81296e-06
6.69369,-0.00227158,-0.00227525,3.66956e-06
6.84062,-0.00181508,-0.00181919,4.11211e-06
6.98574,-0.00141188,-0.00141612,4.24312e-06
7.1289,-0.00106325,-0.0010674,4.14991e-06
7.26995,-0.000767694,-0.000771599,3.90457e-06
7.40877,-0.000521876,-0.000525441,3.56477e-06
7.54521,-0.000321297,-0.000324472,3.17513e-06
7.67913,-0.000160868,-0.000163637,2.76892e-06
7.81042,-3.53189e-05,-3.76887e-05,2.36987e-06
7.93893,6.05078e-05,5.85139e-05,1.9939e-06
8.06454,0.000131461,0.00012981,1.65081e-06
8.18712,0.000181958,0.000180612,1.34568e-06
8.30656,0.000215924,0.000214844,1.08016e-06
8.42274,0.000236774,0.000235921,8.53485e-07
8.53553,0.00024742,0.000246757,6.633e-07
8.64484,0.000250304,0.000249797,5.06292e-07
8.75056,0.00024744,0.000247061,3.78678e-07
8.85257,0.000240466,0.000240189,2.76546e-07
8.95078,0.000230688,0.000230492,1.96091e-07
9.04508,0.000219135,0.000219001,1.33764e-07
9.1354,0.000206601,0.000206514,8.63621e-08
9.22164,0.000193687,0.000193636,5.10645e-08
9.30371,0.000180838,0.000180812,2.54399e-08
9.38153,0.000168374,0.000168367,7.43036e-09
9.45503,0.000156517,0.000156522,4.67819e-09
9.52414,0.000145413,0.000145425,1.22924e-08
9.58877,0.000135149,0.000135165,1.6551e-08
9.64888,0.000125769,0.000125788,1.83638e-08
9.7044,0.000117289,0.000117307,1.84483e-08
9.75528,0.000109698,0.000109716,1.73637e-08
